Date,Close,Index,Country,Close_1day,Relative,Bm
2019-12-03,13.41,NGE: Nigeria,Nigeria,13.39,1.0,1.0
2019-12-04,13.51,NGE: Nigeria,Nigeria,13.39,1.01,1.0
2019-12-05,13.52,NGE: Nigeria,Nigeria,13.39,1.01,1.0
2019-12-06,13.49,NGE: Nigeria,Nigeria,13.39,1.01,1.0
2019-12-09,13.43,NGE: Nigeria,Nigeria,13.39,1.0,1.0
2019-12-10,13.37,NGE: Nigeria,Nigeria,13.39,1.0,1.0
2019-12-11,13.44,NGE: Nigeria,Nigeria,13.39,1.0,1.0
2019-12-12,13.48,NGE: Nigeria,Nigeria,13.39,1.01,1.0
2019-12-13,13.49,NGE: Nigeria,Nigeria,13.39,1.01,1.0
2019-12-16,13.76,NGE: Nigeria,Nigeria,13.39,1.03,1.0
2019-12-17,13.59,NGE: Nigeria,Nigeria,13.39,1.01,1.0
2019-12-18,13.63,NGE: Nigeria,Nigeria,13.39,1.02,1.0
2019-12-19,13.4,NGE: Nigeria,Nigeria,13.39,1.0,1.0
2019-12-20,13.36,NGE: Nigeria,Nigeria,13.39,1.0,1.0
2019-12-23,13.29,NGE: Nigeria,Nigeria,13.39,0.99,2.0
2019-12-24,13.21,NGE: Nigeria,Nigeria,13.39,0.99,2.0
2019-12-26,13.21,NGE: Nigeria,Nigeria,13.39,0.99,2.0
2019-12-27,13.55,NGE: Nigeria,Nigeria,13.39,1.01,1.0
2019-12-30,13.45,NGE: Nigeria,Nigeria,13.39,1.0,1.0
2019-12-31,13.38,NGE: Nigeria,Nigeria,13.39,1.0,1.0
2020-01-02,13.83,NGE: Nigeria,Nigeria,13.39,1.03,1.0
2020-01-03,13.8,NGE: Nigeria,Nigeria,13.39,1.03,1.0
2020-01-06,13.97,NGE: Nigeria,Nigeria,13.39,1.04,1.0
2020-01-07,14.21,NGE: Nigeria,Nigeria,13.39,1.06,1.0
2020-01-08,14.74,NGE: Nigeria,Nigeria,13.39,1.1,1.0
2020-01-09,14.68,NGE: Nigeria,Nigeria,13.39,1.1,1.0
2020-01-10,14.82,NGE: Nigeria,Nigeria,13.39,1.11,1.0
2020-01-13,15.03,NGE: Nigeria,Nigeria,13.39,1.12,1.0
2020-01-14,14.81,NGE: Nigeria,Nigeria,13.39,1.11,1.0
2020-01-15,14.79,NGE: Nigeria,Nigeria,13.39,1.1,1.0
2020-01-16,14.81,NGE: Nigeria,Nigeria,13.39,1.11,1.0
2020-01-17,15.05,NGE: Nigeria,Nigeria,13.39,1.12,1.0
2020-01-21,14.85,NGE: Nigeria,Nigeria,13.39,1.11,1.0
2020-01-22,14.99,NGE: Nigeria,Nigeria,13.39,1.12,1.0
2020-01-23,14.95,NGE: Nigeria,Nigeria,13.39,1.12,1.0
2020-01-24,14.67,NGE: Nigeria,Nigeria,13.39,1.1,1.0
2020-01-27,14.39,NGE: Nigeria,Nigeria,13.39,1.07,1.0
2020-01-28,14.35,NGE: Nigeria,Nigeria,13.39,1.07,1.0
2020-01-29,14.18,NGE: Nigeria,Nigeria,13.39,1.06,1.0
2020-01-30,13.92,NGE: Nigeria,Nigeria,13.39,1.04,1.0
2020-01-31,13.92,NGE: Nigeria,Nigeria,13.39,1.04,1.0
2020-02-03,13.68,NGE: Nigeria,Nigeria,13.39,1.02,1.0
2020-02-04,13.74,NGE: Nigeria,Nigeria,13.39,1.03,1.0
2020-02-05,13.52,NGE: Nigeria,Nigeria,13.39,1.01,1.0
2020-02-06,13.65,NGE: Nigeria,Nigeria,13.39,1.02,1.0
2020-02-07,13.61,NGE: Nigeria,Nigeria,13.39,1.02,1.0
2020-02-10,13.3,NGE: Nigeria,Nigeria,13.39,0.99,2.0
2020-02-11,13.26,NGE: Nigeria,Nigeria,13.39,0.99,2.0
2020-02-12,13.47,NGE: Nigeria,Nigeria,13.39,1.01,1.0
2020-02-13,13.55,NGE: Nigeria,Nigeria,13.39,1.01,1.0
2020-02-14,13.5,NGE: Nigeria,Nigeria,13.39,1.01,1.0
2020-02-18,13.4,NGE: Nigeria,Nigeria,13.39,1.0,1.0
2020-02-19,13.22,NGE: Nigeria,Nigeria,13.39,0.99,2.0
2020-02-20,13.19,NGE: Nigeria,Nigeria,13.39,0.99,2.0
2020-02-21,13.0,NGE: Nigeria,Nigeria,13.39,0.97,2.0
2020-02-24,12.64,NGE: Nigeria,Nigeria,13.39,0.94,2.0
2020-02-25,12.3,NGE: Nigeria,Nigeria,13.39,0.92,2.0
2020-02-26,12.47,NGE: Nigeria,Nigeria,13.39,0.93,2.0
2020-02-27,12.31,NGE: Nigeria,Nigeria,13.39,0.92,2.0
2020-02-28,11.5,NGE: Nigeria,Nigeria,13.39,0.86,3.0
2020-03-02,11.57,NGE: Nigeria,Nigeria,13.39,0.86,3.0
2020-03-03,11.82,NGE: Nigeria,Nigeria,13.39,0.88,2.0
2020-03-04,12.13,NGE: Nigeria,Nigeria,13.39,0.91,2.0
2020-03-05,11.79,NGE: Nigeria,Nigeria,13.39,0.88,2.0
2020-03-06,11.8,NGE: Nigeria,Nigeria,13.39,0.88,2.0
2020-03-09,10.45,NGE: Nigeria,Nigeria,13.39,0.78,3.0
2020-03-10,10.2,NGE: Nigeria,Nigeria,13.39,0.76,3.0
2020-03-11,9.59,NGE: Nigeria,Nigeria,13.39,0.72,3.0
2020-03-12,8.6,NGE: Nigeria,Nigeria,13.39,0.64,3.0
2020-03-13,8.94,NGE: Nigeria,Nigeria,13.39,0.67,3.0
2020-03-16,8.63,NGE: Nigeria,Nigeria,13.39,0.64,3.0
2020-03-17,9.21,NGE: Nigeria,Nigeria,13.39,0.69,3.0
2020-03-18,8.54,NGE: Nigeria,Nigeria,13.39,0.64,3.0
2020-03-19,8.93,NGE: Nigeria,Nigeria,13.39,0.67,3.0
2020-03-20,9.0,NGE: Nigeria,Nigeria,13.39,0.67,3.0
2020-03-23,8.36,NGE: Nigeria,Nigeria,13.39,0.62,3.0
2020-03-24,8.72,NGE: Nigeria,Nigeria,13.39,0.65,3.0
2020-03-25,8.68,NGE: Nigeria,Nigeria,13.39,0.65,3.0
2020-03-26,8.54,NGE: Nigeria,Nigeria,13.39,0.64,3.0
