Country/Region,Confirmed,Date,Variation_Active_1week,Variation_Active_2weeks,Variation_Active_1day,Started declining_days,max_variation,index
Sierra Leone,534.0,2020-05-19,-0.3522267206477733,-1.3034482758620691,0.01183431952662722,no declining,0.01183431952662722,102
Azerbaijan,3518.0,2020-05-19,-0.3051020408163265,-1.4315589353612168,0.010061919504643965,no declining,0.010061919504643965,103
Ukraine,18876.0,2020-05-19,-0.03852760736196319,-0.20845231296402056,0.008512299882858258,no declining,0.008512299882858258,104
Bulgaria,2259.0,2020-05-19,-0.0337465564738292,-0.17082683307332294,0.007931262392597489,no declining,0.007931262392597489,105
Iraq,3611.0,2020-05-19,-0.2405345211581292,-0.4696569920844327,0.0026857654431512983,no declining,0.0026857654431512983,106
Belize,18.0,2020-05-19,0.0,0.0,0.0,no declining,0.0,107
Bhutan,21.0,2020-05-19,-1.6666666666666667,-7.0,0.0,no declining,0.0,108
Burundi,42.0,2020-05-19,-2.0,-2.0,0.0,no declining,0.0,109
Cameroon,3529.0,2020-05-19,-0.7519230769230769,-0.6761729530818767,0.0,no declining,0.0,110
Grenada,22.0,2020-05-19,0.0,0.0,0.0,no declining,0.0,111
Guam,154.0,2020-05-19,-0.125,-1.0,0.0,no declining,0.0,112
Guinea-Bissau,1038.0,2020-05-19,-0.2515802781289507,-1.5190839694656488,0.0,no declining,0.0,113
Haiti,533.0,2020-05-19,-1.6684782608695652,-5.215189873417722,0.0,no declining,0.0,114
Holy See,12.0,2020-05-19,0.0,-0.1111111111111111,0.0,no declining,0.0,115
Lesotho,1.0,2020-05-19,0.0,0.0,0.0,no declining,0.0,116
Liechtenstein,82.0,2020-05-19,0.0,0.0,0.0,no declining,0.0,117
MS Zaandam,9.0,2020-05-19,0.0,0.0,0.0,no declining,0.0,118
Malawi,70.0,2020-05-19,-0.3333333333333333,-0.3793103448275862,0.0,no declining,0.0,119
Papua New Guinea,8.0,2020-05-19,0.0,0.0,0.0,no declining,0.0,120
South Sudan,290.0,2020-05-19,-0.46875,-4.4230769230769225,0.0,no declining,0.0,121
Suriname,11.0,2020-05-19,0.0,0.0,0.0,no declining,0.0,122
Syria,58.0,2020-05-19,-0.26666666666666666,-0.35714285714285715,0.0,no declining,0.0,123
Tanzania,509.0,2020-05-19,0.0,-0.02693602693602693,0.0,no declining,0.0,124
Vietnam,324.0,2020-05-19,-0.6944444444444444,-0.5641025641025641,0.0,no declining,0.0,125
Norway,8267.0,2020-05-19,-0.013296188425984552,-0.038142189932537617,-0.0012512512512512512,no declining,-0.0012512512512512512,126
Netherlands,44332.0,2020-05-19,-0.02792372316308841,-0.07230893358929416,-0.002262384605382915,no declining,-0.002262384605382915,127
Chad,545.0,2020-05-19,-0.4522821576763486,-2.1818181818181817,-0.0028653295128939827,no declining,-0.0028653295128939827,128
