Country/Region,Bm,DATE,Feature
United States,3.0,2020-04-02,INDEX
United States,3.0,2020-04-03,INDEX
United States,3.0,2020-04-06,INDEX
United States,3.0,2020-04-07,INDEX
United States,2.0,2020-04-08,INDEX
United States,2.0,2020-04-09,INDEX
United States,2.0,2020-04-13,INDEX
United States,2.0,2020-04-14,INDEX
United States,2.0,2020-04-15,INDEX
United States,2.0,2020-04-16,INDEX
China,1.0,2019-12-02,INDEX
China,1.0,2019-12-03,INDEX
China,1.0,2019-12-04,INDEX
China,1.0,2019-12-05,INDEX
China,1.0,2019-12-06,INDEX
China,1.0,2019-12-09,INDEX
China,1.0,2019-12-10,INDEX
China,1.0,2019-12-11,INDEX
China,1.0,2019-12-12,INDEX
China,1.0,2019-12-13,INDEX
China,1.0,2019-12-16,INDEX
China,1.0,2019-12-17,INDEX
China,1.0,2019-12-18,INDEX
China,1.0,2019-12-20,INDEX
China,1.0,2019-12-23,INDEX
China,1.0,2019-12-24,INDEX
China,1.0,2019-12-25,INDEX
China,1.0,2019-12-26,INDEX
China,1.0,2019-12-27,INDEX
China,1.0,2019-12-30,INDEX
China,1.0,2019-12-31,INDEX
China,1.0,2020-01-02,INDEX
China,1.0,2020-01-03,INDEX
China,1.0,2020-01-06,INDEX
China,1.0,2020-01-07,INDEX
China,1.0,2020-01-08,INDEX
China,1.0,2020-01-09,INDEX
China,1.0,2020-01-10,INDEX
China,1.0,2020-01-13,INDEX
China,1.0,2020-01-14,INDEX
China,1.0,2020-01-15,INDEX
China,1.0,2020-01-16,INDEX
China,1.0,2020-01-17,INDEX
China,1.0,2020-01-20,INDEX
China,1.0,2020-01-21,INDEX
China,1.0,2020-01-22,INDEX
China,1.0,2020-01-23,INDEX
China,2.0,2020-02-03,INDEX
China,2.0,2020-02-04,INDEX
China,2.0,2020-02-05,INDEX
China,1.0,2020-02-06,INDEX
China,1.0,2020-02-07,INDEX
China,1.0,2020-02-10,INDEX
China,1.0,2020-02-11,INDEX
China,1.0,2020-02-12,INDEX
China,1.0,2020-02-13,INDEX
China,1.0,2020-02-14,INDEX
China,1.0,2020-02-17,INDEX
China,1.0,2020-02-18,INDEX
China,1.0,2020-02-19,INDEX
China,1.0,2020-02-20,INDEX
China,1.0,2020-02-21,INDEX
China,1.0,2020-02-24,INDEX
China,1.0,2020-02-25,INDEX
China,1.0,2020-02-26,INDEX
China,1.0,2020-02-27,INDEX
China,1.0,2020-02-28,INDEX
China,1.0,2020-03-02,INDEX
China,1.0,2020-03-03,INDEX
China,1.0,2020-03-04,INDEX
China,1.0,2020-03-05,INDEX
China,1.0,2020-03-06,INDEX
China,1.0,2020-03-09,INDEX
China,1.0,2020-03-10,INDEX
